2018-10-06 13:02:41,365 |[INFO] test: static	dynamic	diff
2018-10-06 13:02:41,367 |[INFO] test: 78	78	0
2018-10-06 13:02:41,367 |[INFO] test: 71	71	0
2018-10-06 13:02:41,367 |[INFO] test: 78	78	0
2018-10-06 13:02:41,368 |[INFO] test: 69	69	0
2018-10-06 13:02:41,368 |[INFO] test: 80	80	0
2018-10-06 13:02:41,368 |[INFO] test: 66	66	0
2018-10-06 13:02:41,368 |[INFO] test: 66	66	0
2018-10-06 13:02:41,368 |[INFO] test: 68	68	0
2018-10-06 13:02:41,368 |[INFO] test: 63	63	0
2018-10-06 13:02:41,368 |[INFO] test: 85	85	0
2018-10-06 13:02:41,368 |[INFO] test: 79	79	0
2018-10-06 13:02:41,368 |[INFO] test: 70	70	0
2018-10-06 13:02:41,368 |[INFO] test: 59	59	0
2018-10-06 13:02:41,368 |[INFO] test: 86	86	0
2018-10-06 13:02:41,368 |[INFO] test: 64	64	0
2018-10-06 13:02:41,368 |[INFO] test: 79	79	0
2018-10-06 13:02:41,368 |[INFO] test: 73	73	0
2018-10-06 13:02:41,368 |[INFO] test: 74	74	0
2018-10-06 13:02:41,368 |[INFO] test: 73	73	0
2018-10-06 13:02:41,368 |[INFO] test: 74	74	0
2018-10-06 13:02:41,368 |[INFO] test: 70	70	0
2018-10-06 13:02:41,369 |[INFO] test: 78	78	0
2018-10-06 13:02:41,369 |[INFO] test: 78	78	0
2018-10-06 13:02:41,369 |[INFO] test: 70	70	0
2018-10-06 13:02:41,369 |[INFO] test: 55	55	0
2018-10-06 13:02:41,369 |[INFO] test: 61	61	0
2018-10-06 13:02:41,369 |[INFO] test: 72	72	0
2018-10-06 13:02:41,369 |[INFO] test: 65	65	0
2018-10-06 13:02:41,369 |[INFO] test: 58	58	0
2018-10-06 13:02:41,369 |[INFO] test: 72	72	0
2018-10-06 13:02:41,369 |[INFO] test: 60	60	0
2018-10-06 13:02:41,369 |[INFO] test: 67	67	0
2018-10-06 13:02:41,369 |[INFO] test: 87	87	0
2018-10-06 13:02:41,369 |[INFO] test: 74	74	0
2018-10-06 13:02:41,369 |[INFO] test: 60	60	0
2018-10-06 13:02:41,369 |[INFO] test: 79	79	0
2018-10-06 13:02:41,369 |[INFO] test: 59	59	0
2018-10-06 13:02:41,370 |[INFO] test: 61	61	0
2018-10-06 13:02:41,370 |[INFO] test: 66	66	0
2018-10-06 13:02:41,370 |[INFO] test: 75	75	0
2018-10-06 13:02:41,370 |[INFO] test: 85	85	0
2018-10-06 13:02:41,370 |[INFO] test: 74	74	0
2018-10-06 13:02:41,370 |[INFO] test: 54	54	0
2018-10-06 13:02:41,370 |[INFO] test: 77	77	0
2018-10-06 13:02:41,370 |[INFO] test: 67	67	0
2018-10-06 13:02:41,370 |[INFO] test: 62	62	0
2018-10-06 13:02:41,370 |[INFO] test: 18290	143	-18147
2018-10-06 13:02:41,370 |[INFO] test: 18284	132	-18152
2018-10-06 13:02:41,370 |[INFO] test: 60	60	0
2018-10-06 13:02:41,370 |[INFO] test: 60	60	0
2018-10-06 13:02:41,370 |[INFO] test: 57	57	0
2018-10-06 13:02:41,370 |[INFO] test: 58	58	0
2018-10-06 13:02:41,370 |[INFO] test: 57	57	0
2018-10-06 13:02:41,370 |[INFO] test: 68	68	0
2018-10-06 13:02:41,371 |[INFO] test: 69	69	0
2018-10-06 13:02:41,371 |[INFO] test: 61	61	0
2018-10-06 13:02:41,371 |[INFO] test: 5044	106	-4938
2018-10-06 13:02:41,371 |[INFO] test: 96	96	0
2018-10-06 13:02:41,371 |[INFO] test: 70	70	0
2018-10-06 13:02:41,371 |[INFO] test: 90	90	0
2018-10-06 13:02:41,371 |[INFO] test: 90	90	0
2018-10-06 13:02:41,371 |[INFO] test: 64	64	0
