2018-10-06 13:02:41,365 |[INFO] test: static	dynamic	diff
2018-10-06 13:02:41,365 |[INFO] test: 44	44	0
2018-10-06 13:02:41,365 |[INFO] test: 81	81	0
2018-10-06 13:02:41,365 |[INFO] test: 29141	75	-29066
2018-10-06 13:02:41,365 |[INFO] test: 82	82	0
2018-10-06 13:02:41,365 |[INFO] test: 64	64	0
2018-10-06 13:02:41,365 |[INFO] test: 60	60	0
2018-10-06 13:02:41,366 |[INFO] test: 85	85	0
2018-10-06 13:02:41,366 |[INFO] test: 32067	117	-31950
2018-10-06 13:02:41,366 |[INFO] test: 51	51	0
2018-10-06 13:02:41,366 |[INFO] test: 69	69	0
2018-10-06 13:02:41,366 |[INFO] test: 32079	24744	-7335
2018-10-06 13:02:41,366 |[INFO] test: 32079	130	-31949
2018-10-06 13:02:41,366 |[INFO] test: 44	44	0
2018-10-06 13:02:41,366 |[INFO] test: 60	60	0
2018-10-06 13:02:41,366 |[INFO] test: 8645	98	-8547
2018-10-06 13:02:41,366 |[INFO] test: 44	44	0
2018-10-06 13:02:41,366 |[INFO] test: 62	62	0
2018-10-06 13:02:41,366 |[INFO] test: 48	48	0
2018-10-06 13:02:41,366 |[INFO] test: 66	66	0
2018-10-06 13:02:41,366 |[INFO] test: 84	84	0
2018-10-06 13:02:41,366 |[INFO] test: 68	68	0
2018-10-06 13:02:41,366 |[INFO] test: 50	50	0
2018-10-06 13:02:41,366 |[INFO] test: 88	88	0
2018-10-06 13:02:41,366 |[INFO] test: 74	74	0
2018-10-06 13:02:41,367 |[INFO] test: 24596	126	-24470
2018-10-06 13:02:41,367 |[INFO] test: 72	72	0
2018-10-06 13:02:41,367 |[INFO] test: 92	92	0
2018-10-06 13:02:41,367 |[INFO] test: 57	57	0
2018-10-06 13:02:41,367 |[INFO] test: 72	72	0
2018-10-06 13:02:41,367 |[INFO] test: 73	73	0
2018-10-06 13:02:41,367 |[INFO] test: 72	72	0
2018-10-06 13:02:41,367 |[INFO] test: 56	56	0
2018-10-06 13:02:41,367 |[INFO] test: 32904	84	-32820
2018-10-06 13:02:41,367 |[INFO] test: 63	63	0
2018-10-06 13:02:41,367 |[INFO] test: 48	48	0
2018-10-06 13:02:41,367 |[INFO] test: 70	70	0
2018-10-06 13:02:41,367 |[INFO] test: 82	82	0
2018-10-06 13:02:41,367 |[INFO] test: 75	75	0
