2018-10-06 12:36:10,605 |[INFO] test: static	dynamic	diff
2018-10-06 12:36:10,605 |[INFO] test: 116	116	0
2018-10-06 12:36:10,605 |[INFO] test: 9080	3288	-5792
2018-10-06 12:36:10,605 |[INFO] test: 8040	3364	-4676
2018-10-06 12:36:10,605 |[INFO] test: 973	973	0
2018-10-06 12:36:10,605 |[INFO] test: 3780	2466	-1314
2018-10-06 12:36:10,605 |[INFO] test: 6120	3424	-2696
2018-10-06 12:36:10,605 |[INFO] test: 8812	3430	-5382
2018-10-06 12:36:10,606 |[INFO] test: 7049	2767	-4282
2018-10-06 12:36:10,606 |[INFO] test: 8886	3562	-5324
2018-10-06 12:36:10,606 |[INFO] test: 3811	3367	-444
2018-10-06 12:36:10,606 |[INFO] test: 7158	1902	-5256
2018-10-06 12:36:10,606 |[INFO] test: 7821	3041	-4780
2018-10-06 12:36:10,606 |[INFO] test: 6894	3708	-3186
2018-10-06 12:36:10,606 |[INFO] test: 6250	3702	-2548
2018-10-06 12:36:10,606 |[INFO] test: 8464	3396	-5068
2018-10-06 12:36:10,606 |[INFO] test: 10087	2159	-7928
2018-10-06 12:36:10,606 |[INFO] test: 5259	3357	-1902
2018-10-06 12:36:10,606 |[INFO] test: 3149	3149	0
2018-10-06 12:36:10,606 |[INFO] test: 7894	3230	-4664
2018-10-06 12:36:10,606 |[INFO] test: 7777	3353	-4424
2018-10-06 12:36:10,606 |[INFO] test: 3291	3291	0
2018-10-06 12:36:10,606 |[INFO] test: 9463	2695	-6768
2018-10-06 12:36:10,606 |[INFO] test: 1584	1584	0
2018-10-06 12:36:10,606 |[INFO] test: 8877	3571	-5306
2018-10-06 12:36:10,606 |[INFO] test: 773	773	0
2018-10-06 12:36:10,607 |[INFO] test: 8992	3708	-5284
2018-10-06 12:36:10,607 |[INFO] test: 2322	2322	0
2018-10-06 12:36:10,607 |[INFO] test: 3283	3221	-62
2018-10-06 12:36:10,607 |[INFO] test: 6016	3710	-2306
2018-10-06 12:36:10,607 |[INFO] test: 2545	2545	0
2018-10-06 12:36:10,607 |[INFO] test: 8643	3377	-5266
2018-10-06 12:36:10,607 |[INFO] test: 10495	2115	-8380
2018-10-06 12:36:10,607 |[INFO] test: 9420	3330	-6090
2018-10-06 12:36:10,607 |[INFO] test: 744	744	0
2018-10-06 12:36:10,607 |[INFO] test: 7371	3605	-3766
2018-10-06 12:36:10,607 |[INFO] test: 1427	1427	0
2018-10-06 12:36:10,607 |[INFO] test: 3786	3626	-160
2018-10-06 12:36:10,607 |[INFO] test: 4487	3271	-1216
2018-10-06 12:36:10,607 |[INFO] test: 9348	3368	-5980
2018-10-06 12:36:10,607 |[INFO] test: 2686	2686	0
2018-10-06 12:36:10,607 |[INFO] test: 8859	2165	-6694
2018-10-06 12:36:10,607 |[INFO] test: 1082	1082	0
2018-10-06 12:36:10,608 |[INFO] test: 6355	3651	-2704
2018-10-06 12:36:10,608 |[INFO] test: 1165	1165	0
2018-10-06 12:36:10,608 |[INFO] test: 8210	3492	-4718
2018-10-06 12:36:10,608 |[INFO] test: 5556	2210	-3346
2018-10-06 12:36:10,608 |[INFO] test: 4729	2031	-2698
2018-10-06 12:36:10,608 |[INFO] test: 1886	1886	0
2018-10-06 12:36:10,608 |[INFO] test: 5873	3221	-2652
2018-10-06 12:36:10,608 |[INFO] test: 2067	2067	0
2018-10-06 12:36:10,608 |[INFO] test: 9384	3454	-5930
2018-10-06 12:36:10,608 |[INFO] test: 7602	3630	-3972
2018-10-06 12:36:10,608 |[INFO] test: 710	710	0
2018-10-06 12:36:10,608 |[INFO] test: 2571	2571	0
2018-10-06 12:36:10,608 |[INFO] test: 6304	3652	-2652
2018-10-06 12:36:10,608 |[INFO] test: 4321	3221	-1100
2018-10-06 12:36:10,608 |[INFO] test: 7711	3615	-4096
2018-10-06 12:36:10,608 |[INFO] test: 4605	3305	-1300
2018-10-06 12:36:10,608 |[INFO] test: 7269	3545	-3724
2018-10-06 12:36:10,608 |[INFO] test: 5396	3598	-1798
2018-10-06 12:36:10,609 |[INFO] test: 2512	2512	0
2018-10-06 12:36:10,609 |[INFO] test: 2379	2379	0
2018-10-06 12:36:10,609 |[INFO] test: 6020	3254	-2766
2018-10-06 12:36:10,609 |[INFO] test: 1157	1157	0
2018-10-06 12:36:10,609 |[INFO] test: 8634	3300	-5334
2018-10-06 12:36:10,609 |[INFO] test: 4265	3419	-846
2018-10-06 12:36:10,609 |[INFO] test: 9523	2403	-7120
2018-10-06 12:36:10,609 |[INFO] test: 9071	3553	-5518
2018-10-06 12:36:10,609 |[INFO] test: 2907	2907	0
2018-10-06 12:36:10,609 |[INFO] test: 5510	3504	-2006
2018-10-06 12:36:10,609 |[INFO] test: 6546	3368	-3178
2018-10-06 12:36:10,609 |[INFO] test: 2224	2224	0
2018-10-06 12:36:10,609 |[INFO] test: 5753	3381	-2372
2018-10-06 12:36:10,609 |[INFO] test: 6337	3651	-2686
2018-10-06 12:36:10,609 |[INFO] test: 7926	3410	-4516
2018-10-06 12:36:10,609 |[INFO] test: 1631	1631	0
2018-10-06 12:36:10,609 |[INFO] test: 9907	3687	-6220
2018-10-06 12:36:10,609 |[INFO] test: 3601	3601	0
2018-10-06 12:36:10,609 |[INFO] test: 7243	3313	-3930
2018-10-06 12:36:10,609 |[INFO] test: 7145	3451	-3694
2018-10-06 12:36:10,609 |[INFO] test: 6793	3529	-3264
2018-10-06 12:36:10,609 |[INFO] test: 5658	3490	-2168
2018-10-06 12:36:10,609 |[INFO] test: 5765	3543	-2222
2018-10-06 12:36:10,609 |[INFO] test: 7809	3189	-4620
2018-10-06 12:36:10,610 |[INFO] test: 8545	3075	-5470
2018-10-06 12:36:10,610 |[INFO] test: 9305	2265	-7040
2018-10-06 12:36:10,610 |[INFO] test: 359	359	0
2018-10-06 12:36:10,610 |[INFO] test: 5628	3668	-1960
2018-10-06 12:36:10,610 |[INFO] test: 8092	3464	-4628
2018-10-06 12:36:10,610 |[INFO] test: 7995	3499	-4496
2018-10-06 12:36:10,610 |[INFO] test: 2237	2237	0
2018-10-06 12:36:10,610 |[INFO] test: 7840	3514	-4326
2018-10-06 12:36:10,610 |[INFO] test: 5099	3433	-1666
2018-10-06 12:36:10,610 |[INFO] test: 9994	3614	-6380
2018-10-06 12:36:10,610 |[INFO] test: 3859	3263	-596
2018-10-06 12:36:10,610 |[INFO] test: 7009	3479	-3530
2018-10-06 12:36:10,610 |[INFO] test: 9928	3552	-6376
2018-10-06 12:36:10,610 |[INFO] test: 1712	1712	0
2018-10-06 12:36:10,610 |[INFO] test: 5489	3707	-1782
2018-10-06 12:36:10,610 |[INFO] test: 4190	3602	-588
