2018-10-06 13:08:40,706 |[INFO] test: static	dynamic	diff
2018-10-06 13:08:40,710 |[INFO] test: 80	80	0
2018-10-06 13:08:40,710 |[INFO] test: 66	66	0
2018-10-06 13:08:40,710 |[INFO] test: 64	64	0
2018-10-06 13:08:40,710 |[INFO] test: 73	73	0
2018-10-06 13:08:40,710 |[INFO] test: 54	54	0
2018-10-06 13:08:40,710 |[INFO] test: 60	60	0
2018-10-06 13:08:40,710 |[INFO] test: 56	56	0
2018-10-06 13:08:40,710 |[INFO] test: 61	61	0
2018-10-06 13:08:40,710 |[INFO] test: 63	63	0
2018-10-06 13:08:40,710 |[INFO] test: 66	66	0
2018-10-06 13:08:40,710 |[INFO] test: 50	50	0
2018-10-06 13:08:40,710 |[INFO] test: 46	46	0
2018-10-06 13:08:40,710 |[INFO] test: 58	58	0
2018-10-06 13:08:40,710 |[INFO] test: 65	65	0
2018-10-06 13:08:40,710 |[INFO] test: 68	68	0
2018-10-06 13:08:40,711 |[INFO] test: 61	61	0
2018-10-06 13:08:40,711 |[INFO] test: 77	77	0
2018-10-06 13:08:40,711 |[INFO] test: 94	94	0
2018-10-06 13:08:40,711 |[INFO] test: 61	61	0
2018-10-06 13:08:40,711 |[INFO] test: 76	76	0
2018-10-06 13:08:40,711 |[INFO] test: 81	81	0
2018-10-06 13:08:40,711 |[INFO] test: 75	75	0
2018-10-06 13:08:40,711 |[INFO] test: 65	65	0
2018-10-06 13:08:40,711 |[INFO] test: 77	77	0
2018-10-06 13:08:40,711 |[INFO] test: 76	76	0
