static	dynamic	diff
844	844	0
5858	1354	-4504
5858	1410	-4448
5858	1410	-4448
5890	1442	-4448
5890	1580	-4310
6036	1726	-4310
6036	1726	-4310
5962	1652	-4310
5962	5218	-744
6143	5399	-744
6143	6143	0
6143	6143	0
2451	2451	0
2451	2451	0
2451	2451	0
2361	2361	0
2361	2361	0
2387	2387	0
2387	2387	0
2348	2348	0
2348	2348	0
2430	2430	0
2430	2430	0
2484	2484	0
2484	2484	0
2507	2507	0
2507	2507	0
2380	2380	0
3498	3498	0
3489	3489	0
3489	3489	0
3474	3474	0
3474	3474	0
3397	3397	0
3397	3397	0
3465	3465	0
2955	2955	0
2952	2952	0
2952	2952	0
3038	3038	0
3038	3038	0
3133	3133	0
3133	3133	0
3205	3205	0
3205	3205	0
3185	3185	0
7225	5725	-1500
7119	5619	-1500
7119	5333	-1786
7119	5185	-1934
7119	1921	-5198
7072	1874	-5198
3292	1874	-1418
3335	1917	-1418
3223	1917	-1306
3366	2060	-1306
3366	2060	-1306
3272	1966	-1306
3272	2130	-1142
3272	2254	-1018
3272	3272	0
3282	3282	0
3282	3282	0
3276	3276	0
3276	2916	-360
3265	2905	-360
3265	2905	-360
3293	2933	-360
3293	2933	-360
3195	2835	-360
3195	2835	-360
3103	2743	-360
3103	2743	-360
3100	2740	-360
3100	2740	-360
3204	2844	-360
6738	2844	-3894
6676	2782	-3894
2758	2758	0
2735	2735	0
2735	2735	0
2717	2717	0
2717	2717	0
2717	2601	-116
2717	2717	0
2863	2863	0
2863	2863	0
2859	2859	0
6221	5875	-346
6215	5869	-346
5909	5869	-40
5839	5799	-40
3225	3225	0
3126	3126	0
3126	3126	0
3210	3210	0
3210	3210	0
3184	3184	0
